Timestamp,GPU Index,GPU Name,Utilization %,Memory Used (MiB),Memory Total (MiB)
2025-05-02 09:57:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 09:57:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 09:57:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 09:59:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 09:59:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 09:59:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:01:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 10:01:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:01:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:03:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 10:03:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:03:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:05:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 10:05:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:05:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:07:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 10:07:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:07:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:09:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 10:09:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:09:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:11:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 10:11:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:11:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:13:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 10:13:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:13:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:15:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1139, 49140
2025-05-02 10:15:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:15:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:17:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:17:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:17:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:19:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:19:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:19:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:21:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:21:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:21:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:23:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
2025-05-02 10:23:45,1, NVIDIA RTX 6000 Ada Generation, 0, 33, 49140
2025-05-02 10:23:45,2, NVIDIA RTX 6000 Ada Generation, 0, 23, 49140
2025-05-02 10:25:45,0, NVIDIA RTX 6000 Ada Generation, 0, 1129, 49140
